folder,path,version,port,module,class,def,counts,missing
micropython-v1_21_0-frozen,..\repos\micropython-stubs\stubs\micropython-v1_21_0-frozen,1.21.0,frozen,0.23,0.17,0.36,"{'def': 19937, 'class': 2996, 'module': 2338}","{'module': 1795, 'class': 2494, 'def': 12679}"
micropython-v1_21_0-rp2-RPI_PICO,..\repos\micropython-stubs\stubs\micropython-v1_21_0-rp2-RPI_PICO,1.21.0,rp2,0.54,0.53,0.11,"{'def': 1648, 'class': 402, 'module': 128}","{'module': 59, 'class': 188, 'def': 1464}"
micropython-v1_21_0-rp2-RPI_PICO-merged,..\repos\micropython-stubs\stubs\micropython-v1_21_0-rp2-RPI_PICO-merged,1.21.0,rp2,0.89,0.82,0.62,"{'def': 1688, 'class': 432, 'module': 128}","{'module': 14, 'class': 79, 'def': 644}"
micropython-v1_21_0-rp2-RPI_PICO_W,..\repos\micropython-stubs\stubs\micropython-v1_21_0-rp2-RPI_PICO_W,1.21.0,rp2,0.53,0.52,0.12,"{'def': 2248, 'class': 602, 'module': 176}","{'module': 83, 'class': 286, 'def': 1978}"
micropython-v1_21_0-rp2-RPI_PICO_W-merged,..\repos\micropython-stubs\stubs\micropython-v1_21_0-rp2-RPI_PICO_W-merged,1.21.0,rp2,0.83,0.75,0.57,"{'def': 2288, 'class': 636, 'module': 174}","{'module': 30, 'class': 159, 'def': 978}"
micropython-v1_21_0-samd-SEEED_WIO_TERMINAL,..\repos\micropython-stubs\stubs\micropython-v1_21_0-samd-SEEED_WIO_TERMINAL,1.21.0,samd,0.52,0.71,0.11,"{'def': 1534, 'class': 596, 'module': 116}","{'module': 56, 'class': 170, 'def': 1366}"
micropython-v1_21_0-samd-SEEED_WIO_TERMINAL-merged,..\repos\micropython-stubs\stubs\micropython-v1_21_0-samd-SEEED_WIO_TERMINAL-merged,1.21.0,samd,0.86,0.88,0.6,"{'def': 1574, 'class': 626, 'module': 116}","{'module': 16, 'class': 78, 'def': 634}"
micropython-v1_21_0-stm32-PYBV11,..\repos\micropython-stubs\stubs\micropython-v1_21_0-stm32-PYBV11,1.21.0,stm32,0.52,0.66,0.1,"{'def': 2146, 'class': 600, 'module': 124}","{'module': 60, 'class': 206, 'def': 1938}"
micropython-v1_21_0-stm32-PYBV11-merged,..\repos\micropython-stubs\stubs\micropython-v1_21_0-stm32-PYBV11-merged,1.21.0,stm32,0.9,0.89,0.67,"{'def': 2190, 'class': 630, 'module': 124}","{'module': 13, 'class': 72, 'def': 726}"
micropython-v1_21_0-webassembly-GENERIC,..\repos\micropython-stubs\stubs\micropython-v1_21_0-webassembly-GENERIC,1.21.0,webassembly,0.51,0.0,0.07,"{'def': 664, 'class': 44, 'module': 80}","{'module': 39, 'class': 44, 'def': 620}"
micropython-v1_21_0-webassembly-GENERIC-merged,..\repos\micropython-stubs\stubs\micropython-v1_21_0-webassembly-GENERIC-merged,1.21.0,webassembly,0.97,0.77,0.64,"{'def': 688, 'class': 70, 'module': 80}","{'module': 2, 'class': 16, 'def': 246}"
micropython-v1_22_0-docstubs,..\repos\micropython-stubs\stubs\micropython-v1_22_0-docstubs,1.22.0,docstubs,1.0,0.96,0.97,"{'def': 919, 'class': 120, 'module': 55}","{'module': 0, 'class': 5, 'def': 24}"
micropython-v1_22_0-esp32-ESP32_GENERIC,..\repos\micropython-stubs\stubs\micropython-v1_22_0-esp32-ESP32_GENERIC,1.22.0,esp32,0.52,0.3,0.11,"{'def': 2242, 'class': 353, 'module': 178}","{'module': 85, 'class': 248, 'def': 2002}"
micropython-v1_22_0-esp32-ESP32_GENERIC-merged,..\repos\micropython-stubs\stubs\micropython-v1_22_0-esp32-ESP32_GENERIC-merged,1.22.0,esp32,0.84,0.72,0.59,"{'def': 2274, 'class': 397, 'module': 174}","{'module': 28, 'class': 112, 'def': 922}"
micropython-v1_22_0-esp32-ESP32_GENERIC_S3,..\repos\micropython-stubs\stubs\micropython-v1_22_0-esp32-ESP32_GENERIC_S3,1.22.0,esp32,0.52,0.3,0.11,"{'def': 2232, 'class': 349, 'module': 178}","{'module': 85, 'class': 244, 'def': 1996}"
micropython-v1_22_0-esp32-ESP32_GENERIC_S3-merged,..\repos\micropython-stubs\stubs\micropython-v1_22_0-esp32-ESP32_GENERIC_S3-merged,1.22.0,esp32,0.84,0.73,0.59,"{'def': 2264, 'class': 393, 'module': 174}","{'module': 28, 'class': 108, 'def': 918}"
micropython-v1_22_0-esp32-Generic_ESP32S3_module,..\repos\micropython-stubs\stubs\micropython-v1_22_0-esp32-Generic_ESP32S3_module,1.22.0,esp32,0.52,0.3,0.11,"{'def': 2232, 'class': 349, 'module': 178}","{'module': 85, 'class': 244, 'def': 1996}"
micropython-v1_22_0-rp2-ARDUINO_NANO_RP2040_CONNECT,..\repos\micropython-stubs\stubs\micropython-v1_22_0-rp2-ARDUINO_NANO_RP2040_CONNECT,1.22.0,rp2,0.53,0.52,0.12,"{'def': 2292, 'class': 616, 'module': 180}","{'module': 85, 'class': 298, 'def': 2010}"
micropython-v1_22_0-rp2-ARDUINO_NANO_RP2040_CONNECT-merged,..\repos\micropython-stubs\stubs\micropython-v1_22_0-rp2-ARDUINO_NANO_RP2040_CONNECT-merged,1.22.0,rp2,0.82,0.75,0.58,"{'def': 2312, 'class': 646, 'module': 176}","{'module': 31, 'class': 161, 'def': 976}"
micropython-v1_22_0-rp2-RPI_PICO,..\repos\micropython-stubs\stubs\micropython-v1_22_0-rp2-RPI_PICO,1.22.0,rp2,0.54,0.53,0.12,"{'def': 1612, 'class': 408, 'module': 130}","{'module': 60, 'class': 192, 'def': 1424}"
micropython-v1_22_0-rp2-RPI_PICO-merged,..\repos\micropython-stubs\stubs\micropython-v1_22_0-rp2-RPI_PICO-merged,1.22.0,rp2,0.88,0.82,0.62,"{'def': 1652, 'class': 438, 'module': 130}","{'module': 15, 'class': 79, 'def': 632}"
micropython-v1_22_0-rp2-RPI_PICO_W,..\repos\micropython-stubs\stubs\micropython-v1_22_0-rp2-RPI_PICO_W,1.22.0,rp2,0.53,0.52,0.12,"{'def': 2228, 'class': 590, 'module': 180}","{'module': 85, 'class': 284, 'def': 1960}"
micropython-v1_22_0-rp2-RPI_PICO_W-merged,..\repos\micropython-stubs\stubs\micropython-v1_22_0-rp2-RPI_PICO_W-merged,1.22.0,rp2,0.82,0.76,0.58,"{'def': 2248, 'class': 620, 'module': 176}","{'module': 31, 'class': 151, 'def': 954}"
micropython-v1_22_0-samd-SEEED_WIO_TERMINAL,..\repos\micropython-stubs\stubs\micropython-v1_22_0-samd-SEEED_WIO_TERMINAL,1.22.0,samd,0.52,0.72,0.11,"{'def': 1488, 'class': 604, 'module': 116}","{'module': 56, 'class': 172, 'def': 1318}"
micropython-v1_22_0-samd-SEEED_WIO_TERMINAL-merged,..\repos\micropython-stubs\stubs\micropython-v1_22_0-samd-SEEED_WIO_TERMINAL-merged,1.22.0,samd,0.86,0.88,0.6,"{'def': 1528, 'class': 634, 'module': 116}","{'module': 16, 'class': 76, 'def': 614}"
micropython-v1_9_3-esp8266,..\repos\micropython-stubs\stubs\micropython-v1_9_3-esp8266,1.9.3,esp8266,0.51,0.58,0.01,"{'def': 1112, 'class': 182, 'module': 117}","{'module': 57, 'class': 76, 'def': 1100}"
micropython-v1_9_3-frozen,..\repos\micropython-stubs\stubs\micropython-v1_9_3-frozen,1.9.3,frozen,0.05,0.0,0.16,"{'def': 363, 'class': 40, 'module': 40}","{'module': 38, 'class': 40, 'def': 306}"
micropython-v1_9_4-esp8266,..\repos\micropython-stubs\stubs\micropython-v1_9_4-esp8266,1.9.4,esp8266,0.52,0.5,0.02,"{'def': 642, 'class': 104, 'module': 119}","{'module': 57, 'class': 52, 'def': 630}"
micropython-v1_9_4-frozen,..\repos\micropython-stubs\stubs\micropython-v1_9_4-frozen,1.9.4,frozen,0.05,0.0,0.17,"{'def': 571, 'class': 82, 'module': 74}","{'module': 70, 'class': 82, 'def': 474}"
micropython-latest-esp32-esp32_generic-stubs,..\repos\micropython-stubs\publish\micropython-latest-esp32-esp32_generic-stubs,99.99.99,esp32,0.68,0.6,0.6,"{'def': 1096, 'class': 138, 'module': 87}","{'module': 28, 'class': 55, 'def': 435}"
micropython-latest-esp32-stubs,..\repos\micropython-stubs\publish\micropython-latest-esp32-stubs,99.99.99,esp32,0.68,0.6,0.6,"{'def': 1096, 'class': 138, 'module': 87}","{'module': 28, 'class': 55, 'def': 435}"
micropython-latest-rp2-pimoroni_picolipo_16mb-stubs,..\repos\micropython-stubs\publish\micropython-latest-rp2-pimoroni_picolipo_16mb-stubs,99.99.99,rp2,0.81,0.58,0.59,"{'def': 745, 'class': 88, 'module': 58}","{'module': 11, 'class': 37, 'def': 306}"
micropython-latest-rp2-rpi_pico-stubs,..\repos\micropython-stubs\publish\micropython-latest-rp2-rpi_pico-stubs,99.99.99,rp2,0.78,0.62,0.63,"{'def': 816, 'class': 105, 'module': 64}","{'module': 14, 'class': 40, 'def': 298}"
micropython-latest-rp2-rpi_pico_w-stubs,..\repos\micropython-stubs\publish\micropython-latest-rp2-rpi_pico_w-stubs,99.99.99,rp2,0.64,0.54,0.62,"{'def': 1142, 'class': 138, 'module': 92}","{'module': 33, 'class': 63, 'def': 435}"
micropython-latest-rp2-stubs,..\repos\micropython-stubs\publish\micropython-latest-rp2-stubs,99.99.99,rp2,0.78,0.62,0.63,"{'def': 816, 'class': 105, 'module': 64}","{'module': 14, 'class': 40, 'def': 298}"
micropython-latest-samd-adafruit_feather_m4_express-stubs,..\repos\micropython-stubs\publish\micropython-latest-samd-adafruit_feather_m4_express-stubs,99.99.99,samd,0.76,0.6,0.57,"{'def': 700, 'class': 80, 'module': 51}","{'module': 12, 'class': 32, 'def': 299}"
micropython-latest-samd-adafruit_itsybitsy_m4_express-stubs,..\repos\micropython-stubs\publish\micropython-latest-samd-adafruit_itsybitsy_m4_express-stubs,99.99.99,samd,0.76,0.6,0.57,"{'def': 700, 'class': 80, 'module': 51}","{'module': 12, 'class': 32, 'def': 299}"
micropython-latest-samd-minisam_m4-stubs,..\repos\micropython-stubs\publish\micropython-latest-samd-minisam_m4-stubs,99.99.99,samd,0.76,0.6,0.57,"{'def': 700, 'class': 80, 'module': 51}","{'module': 12, 'class': 32, 'def': 299}"
micropython-latest-samd-seeed_wio_terminal-stubs,..\repos\micropython-stubs\publish\micropython-latest-samd-seeed_wio_terminal-stubs,99.99.99,samd,0.74,0.6,0.62,"{'def': 745, 'class': 95, 'module': 57}","{'module': 15, 'class': 38, 'def': 280}"
micropython-latest-samd-stubs,..\repos\micropython-stubs\publish\micropython-latest-samd-stubs,99.99.99,samd,0.74,0.6,0.62,"{'def': 745, 'class': 95, 'module': 57}","{'module': 15, 'class': 38, 'def': 280}"
micropython-latest-stm32-pybv11-stubs,..\repos\micropython-stubs\publish\micropython-latest-stm32-pybv11-stubs,99.99.99,stm32,0.79,0.69,0.68,"{'def': 1067, 'class': 116, 'module': 62}","{'module': 13, 'class': 36, 'def': 339}"
micropython-latest-stm32-stubs,..\repos\micropython-stubs\publish\micropython-latest-stm32-stubs,99.99.99,stm32,0.79,0.69,0.68,"{'def': 1067, 'class': 116, 'module': 62}","{'module': 13, 'class': 36, 'def': 339}"
micropython-latest-webassembly-stubs,..\repos\micropython-stubs\publish\micropython-latest-webassembly-stubs,99.99.99,webassembly,0.95,0.7,0.69,"{'def': 316, 'class': 27, 'module': 40}","{'module': 2, 'class': 8, 'def': 98}"
micropython-stdlib-stubs,..\repos\micropython-stubs\publish\micropython-stdlib-stubs,1.0,stdlib,1.0,1.0,1.0,"{'def': 3566, 'class': 649, 'module': 57}","{'module': 0, 'class': 0, 'def': 0}"
micropython-v1_17-esp32-stubs,..\repos\micropython-stubs\publish\micropython-v1_17-esp32-stubs,1.17,esp32,0.62,0.55,0.5,"{'def': 953, 'class': 132, 'module': 80}","{'module': 30, 'class': 60, 'def': 481}"
micropython-v1_17-esp8266-stubs,..\repos\micropython-stubs\publish\micropython-v1_17-esp8266-stubs,1.17,esp8266,0.56,0.5,0.43,"{'def': 899, 'class': 113, 'module': 80}","{'module': 35, 'class': 57, 'def': 512}"
micropython-v1_17-rp2-stubs,..\repos\micropython-stubs\publish\micropython-v1_17-rp2-stubs,1.17,rp2,0.7,0.55,0.42,"{'def': 661, 'class': 95, 'module': 53}","{'module': 16, 'class': 43, 'def': 385}"
micropython-v1_17-stm32-stubs,..\repos\micropython-stubs\publish\micropython-v1_17-stm32-stubs,1.17,stm32,0.73,0.68,0.59,"{'def': 1111, 'class': 136, 'module': 60}","{'module': 16, 'class': 43, 'def': 451}"
micropython-v1_18-esp32-stubs,..\repos\micropython-stubs\publish\micropython-v1_18-esp32-stubs,1.18,esp32,0.64,0.55,0.51,"{'def': 960, 'class': 134, 'module': 81}","{'module': 29, 'class': 60, 'def': 470}"
micropython-v1_18-esp8266-stubs,..\repos\micropython-stubs\publish\micropython-v1_18-esp8266-stubs,1.18,esp8266,0.59,0.5,0.44,"{'def': 900, 'class': 113, 'module': 80}","{'module': 33, 'class': 57, 'def': 508}"
micropython-v1_18-rp2-stubs,..\repos\micropython-stubs\publish\micropython-v1_18-rp2-stubs,1.18,rp2,0.79,0.58,0.54,"{'def': 839, 'class': 113, 'module': 61}","{'module': 13, 'class': 47, 'def': 388}"
micropython-v1_18-stm32-stubs,..\repos\micropython-stubs\publish\micropython-v1_18-stm32-stubs,1.18,stm32,0.75,0.67,0.64,"{'def': 1037, 'class': 121, 'module': 59}","{'module': 15, 'class': 40, 'def': 371}"
micropython-v1_19_1-esp32-generic_s3-stubs,..\repos\micropython-stubs\publish\micropython-v1_19_1-esp32-generic_s3-stubs,1.19.1,esp32,0.64,0.62,0.58,"{'def': 1048, 'class': 136, 'module': 86}","{'module': 31, 'class': 51, 'def': 443}"
micropython-v1_19_1-esp32-generic_spiram-stubs,..\repos\micropython-stubs\publish\micropython-v1_19_1-esp32-generic_spiram-stubs,1.19.1,esp32,0.65,0.66,0.59,"{'def': 1003, 'class': 129, 'module': 82}","{'module': 29, 'class': 44, 'def': 416}"
micropython-v1_19_1-esp32-s3-stubs,..\repos\micropython-stubs\publish\micropython-v1_19_1-esp32-s3-stubs,1.19.1,esp32,0.81,0.77,0.62,"{'def': 1007, 'class': 142, 'module': 80}","{'module': 15, 'class': 33, 'def': 381}"
micropython-v1_19_1-esp32-stubs,..\repos\micropython-stubs\publish\micropython-v1_19_1-esp32-stubs,1.19.1,esp32,0.65,0.66,0.59,"{'def': 1003, 'class': 129, 'module': 82}","{'module': 29, 'class': 44, 'def': 416}"
micropython-v1_19_1-esp32-um_tinypico-stubs,..\repos\micropython-stubs\publish\micropython-v1_19_1-esp32-um_tinypico-stubs,1.19.1,esp32,0.62,0.65,0.63,"{'def': 931, 'class': 110, 'module': 82}","{'module': 31, 'class': 38, 'def': 342}"
micropython-v1_19_1-esp8266-stubs,..\repos\micropython-stubs\publish\micropython-v1_19_1-esp8266-stubs,1.19.1,esp8266,0.73,0.73,0.59,"{'def': 724, 'class': 85, 'module': 66}","{'module': 18, 'class': 23, 'def': 296}"
micropython-v1_19_1-rp2-stubs,..\repos\micropython-stubs\publish\micropython-v1_19_1-rp2-stubs,1.19.1,rp2,0.69,0.53,0.58,"{'def': 981, 'class': 137, 'module': 74}","{'module': 23, 'class': 64, 'def': 413}"
micropython-v1_19_1-stm32-stubs,..\repos\micropython-stubs\publish\micropython-v1_19_1-stm32-stubs,1.19.1,stm32,0.77,0.75,0.66,"{'def': 1043, 'class': 114, 'module': 60}","{'module': 14, 'class': 28, 'def': 358}"
micropython-v1_20_0-esp32-generic_ota-stubs,..\repos\micropython-stubs\publish\micropython-v1_20_0-esp32-generic_ota-stubs,1.20.0,esp32,0.65,0.63,0.62,"{'def': 1010, 'class': 126, 'module': 85}","{'module': 30, 'class': 46, 'def': 384}"
micropython-v1_20_0-esp32-generic_s3-stubs,..\repos\micropython-stubs\publish\micropython-v1_20_0-esp32-generic_s3-stubs,1.20.0,esp32,0.65,0.64,0.62,"{'def': 980, 'class': 120, 'module': 84}","{'module': 29, 'class': 43, 'def': 369}"
micropython-v1_20_0-esp32-ota-stubs,..\repos\micropython-stubs\publish\micropython-v1_20_0-esp32-ota-stubs,1.20.0,esp32,0.64,0.64,0.61,"{'def': 1041, 'class': 130, 'module': 85}","{'module': 31, 'class': 47, 'def': 410}"
micropython-v1_20_0-esp32-s3-stubs,..\repos\micropython-stubs\publish\micropython-v1_20_0-esp32-s3-stubs,1.20.0,esp32,0.64,0.65,0.61,"{'def': 1011, 'class': 124, 'module': 84}","{'module': 30, 'class': 44, 'def': 395}"
micropython-v1_20_0-esp32-stubs,..\repos\micropython-stubs\publish\micropython-v1_20_0-esp32-stubs,1.20.0,esp32,0.65,0.63,0.62,"{'def': 1010, 'class': 126, 'module': 85}","{'module': 30, 'class': 46, 'def': 384}"
micropython-v1_20_0-rp2-pico-stubs,..\repos\micropython-stubs\publish\micropython-v1_20_0-rp2-pico-stubs,1.20.0,rp2,0.8,0.68,0.63,"{'def': 751, 'class': 93, 'module': 60}","{'module': 12, 'class': 30, 'def': 281}"
micropython-v1_20_0-rp2-pico_w-stubs,..\repos\micropython-stubs\publish\micropython-v1_20_0-rp2-pico_w-stubs,1.20.0,rp2,0.75,0.66,0.61,"{'def': 865, 'class': 100, 'module': 71}","{'module': 18, 'class': 34, 'def': 340}"
micropython-v1_20_0-rp2-stubs,..\repos\micropython-stubs\publish\micropython-v1_20_0-rp2-stubs,1.20.0,rp2,0.8,0.68,0.63,"{'def': 751, 'class': 93, 'module': 60}","{'module': 12, 'class': 30, 'def': 281}"
micropython-v1_20_0-samd-adafruit_feather_m4_express-stubs,..\repos\micropython-stubs\publish\micropython-v1_20_0-samd-adafruit_feather_m4_express-stubs,1.20.0,samd,0.75,0.67,0.59,"{'def': 705, 'class': 85, 'module': 53}","{'module': 13, 'class': 28, 'def': 291}"
micropython-v1_20_0-samd-adafruit_itsybitsy_m4_express-stubs,..\repos\micropython-stubs\publish\micropython-v1_20_0-samd-adafruit_itsybitsy_m4_express-stubs,1.20.0,samd,0.75,0.67,0.59,"{'def': 705, 'class': 85, 'module': 53}","{'module': 13, 'class': 28, 'def': 291}"
micropython-v1_20_0-samd-minisam_m4-stubs,..\repos\micropython-stubs\publish\micropython-v1_20_0-samd-minisam_m4-stubs,1.20.0,samd,0.75,0.67,0.59,"{'def': 705, 'class': 85, 'module': 53}","{'module': 13, 'class': 28, 'def': 291}"
micropython-v1_20_0-samd-seeed_wio_terminal-stubs,..\repos\micropython-stubs\publish\micropython-v1_20_0-samd-seeed_wio_terminal-stubs,1.20.0,samd,0.75,0.67,0.59,"{'def': 705, 'class': 85, 'module': 53}","{'module': 13, 'class': 28, 'def': 291}"
micropython-v1_20_0-samd-stubs,..\repos\micropython-stubs\publish\micropython-v1_20_0-samd-stubs,1.20.0,samd,0.75,0.67,0.59,"{'def': 705, 'class': 85, 'module': 53}","{'module': 13, 'class': 28, 'def': 291}"
micropython-v1_20_0-stm32-pybv11-stubs,..\repos\micropython-stubs\publish\micropython-v1_20_0-stm32-pybv11-stubs,1.20.0,stm32,0.78,0.74,0.67,"{'def': 1011, 'class': 105, 'module': 60}","{'module': 13, 'class': 27, 'def': 329}"
micropython-v1_20_0-stm32-stubs,..\repos\micropython-stubs\publish\micropython-v1_20_0-stm32-stubs,1.20.0,stm32,0.78,0.74,0.67,"{'def': 1011, 'class': 105, 'module': 60}","{'module': 13, 'class': 27, 'def': 329}"
micropython-v1_21_0-esp32-esp32_generic-stubs,..\repos\micropython-stubs\publish\micropython-v1_21_0-esp32-esp32_generic-stubs,1.21.0,esp32,0.65,0.6,0.61,"{'def': 1122, 'class': 141, 'module': 93}","{'module': 33, 'class': 57, 'def': 441}"
micropython-v1_21_0-esp32-stubs,..\repos\micropython-stubs\publish\micropython-v1_21_0-esp32-stubs,1.21.0,esp32,0.65,0.6,0.61,"{'def': 1122, 'class': 141, 'module': 93}","{'module': 33, 'class': 57, 'def': 441}"
micropython-v1_21_0-rp2-rpi_pico-stubs,..\repos\micropython-stubs\publish\micropython-v1_21_0-rp2-rpi_pico-stubs,1.21.0,rp2,0.77,0.63,0.63,"{'def': 810, 'class': 102, 'module': 66}","{'module': 15, 'class': 38, 'def': 299}"
micropython-v1_21_0-rp2-rpi_pico_w-stubs,..\repos\micropython-stubs\publish\micropython-v1_21_0-rp2-rpi_pico_w-stubs,1.21.0,rp2,0.63,0.54,0.62,"{'def': 1142, 'class': 138, 'module': 92}","{'module': 34, 'class': 63, 'def': 435}"
micropython-v1_21_0-rp2-stubs,..\repos\micropython-stubs\publish\micropython-v1_21_0-rp2-stubs,1.21.0,rp2,0.77,0.63,0.63,"{'def': 810, 'class': 102, 'module': 66}","{'module': 15, 'class': 38, 'def': 299}"
micropython-v1_21_0-samd-seeed_wio_terminal-stubs,..\repos\micropython-stubs\publish\micropython-v1_21_0-samd-seeed_wio_terminal-stubs,1.21.0,samd,0.73,0.61,0.62,"{'def': 738, 'class': 92, 'module': 59}","{'module': 16, 'class': 36, 'def': 283}"
micropython-v1_21_0-samd-stubs,..\repos\micropython-stubs\publish\micropython-v1_21_0-samd-stubs,1.21.0,samd,0.73,0.61,0.62,"{'def': 738, 'class': 92, 'module': 59}","{'module': 16, 'class': 36, 'def': 283}"
micropython-v1_21_0-stm32-pybv11-stubs,..\repos\micropython-stubs\publish\micropython-v1_21_0-stm32-pybv11-stubs,1.21.0,stm32,0.78,0.7,0.68,"{'def': 1061, 'class': 113, 'module': 63}","{'module': 14, 'class': 34, 'def': 343}"
micropython-v1_21_0-stm32-stubs,..\repos\micropython-stubs\publish\micropython-v1_21_0-stm32-stubs,1.21.0,stm32,0.78,0.7,0.68,"{'def': 1061, 'class': 113, 'module': 63}","{'module': 14, 'class': 34, 'def': 343}"
micropython-v1_21_0-webassembly-stubs,..\repos\micropython-stubs\publish\micropython-v1_21_0-webassembly-stubs,1.21.0,webassembly,0.95,0.7,0.69,"{'def': 316, 'class': 27, 'module': 40}","{'module': 2, 'class': 8, 'def': 98}"
